epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,146.765,1.22274,0.91837,1.32933,0.99794,1,0.995,0.64699,1.20067,0.69143,1.3621,0.000911,0.000911,0.000911
46,149.754,1.18236,0.84387,1.30511,0.99661,1,0.995,0.68763,1.22839,0.68072,1.38158,0.00088625,0.00088625,0.00088625
47,152.662,1.28392,0.88014,1.35379,0.99531,1,0.995,0.68432,1.23205,0.73335,1.39836,0.0008615,0.0008615,0.0008615
48,155.545,1.20228,0.93799,1.33422,0.99488,1,0.995,0.68256,1.18227,0.72575,1.34593,0.00083675,0.00083675,0.00083675
49,158.478,1.16649,0.89545,1.29667,0.99213,1,0.995,0.66719,1.26738,1.16327,1.44007,0.000812,0.000812,0.000812
50,161.4,1.15835,0.80823,1.2644,0.99655,1,0.995,0.7038,1.17737,0.66269,1.36562,0.00078725,0.00078725,0.00078725
51,164.83,1.21089,0.88433,1.2814,0.9968,1,0.995,0.69858,1.20654,0.67239,1.35516,0.0007625,0.0007625,0.0007625
52,167.769,1.23014,0.87797,1.28304,0.99831,1,0.995,0.65265,1.2275,0.65241,1.35341,0.00073775,0.00073775,0.00073775
53,171.271,1.14323,0.82647,1.23061,0.99879,1,0.995,0.6761,1.21866,0.83951,1.35547,0.000713,0.000713,0.000713
54,175.051,1.12006,0.8546,1.22174,0.99799,1,0.995,0.65176,1.23951,0.65131,1.36054,0.00068825,0.00068825,0.00068825
55,178.834,1.18818,0.81092,1.25411,0.99553,1,0.995,0.61007,1.33041,0.75928,1.39958,0.0006635,0.0006635,0.0006635
56,182.23,1.13363,0.7934,1.25962,0.99596,1,0.995,0.70095,1.18546,0.68335,1.33874,0.00063875,0.00063875,0.00063875
57,185.173,1.12065,0.79674,1.24666,0.99446,1,0.995,0.68678,1.13487,0.70187,1.3106,0.000614,0.000614,0.000614
58,188.422,1.14546,0.82908,1.25673,0.98835,0.97436,0.99402,0.67277,1.1597,0.7441,1.30036,0.00058925,0.00058925,0.00058925
59,191.302,1.04433,0.77821,1.21231,0.99505,1,0.995,0.69168,1.14828,0.62382,1.28457,0.0005645,0.0005645,0.0005645
60,194.236,1.12409,0.78495,1.236,0.99721,1,0.995,0.68536,1.25333,0.64211,1.33695,0.00053975,0.00053975,0.00053975
61,197.142,1.03008,0.77778,1.23685,0.99683,1,0.995,0.70781,1.12461,0.59639,1.26853,0.000515,0.000515,0.000515
62,200.312,1.11269,0.80077,1.22363,0.99578,1,0.995,0.7129,1.10063,0.59257,1.25595,0.00049025,0.00049025,0.00049025
63,204.094,1.07177,0.77828,1.20148,0.99721,1,0.995,0.72224,1.15716,0.65387,1.27468,0.0004655,0.0004655,0.0004655
64,207.125,1.09809,0.76,1.22471,0.99684,1,0.995,0.7212,1.15879,0.67859,1.29602,0.00044075,0.00044075,0.00044075
65,210.058,1.05501,0.76147,1.22149,0.99629,1,0.995,0.71354,1.07858,0.58256,1.24796,0.000416,0.000416,0.000416
