epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,439.114,2.87026,2.73346,1.92388,0.42,0.53846,0.42586,0.18504,2.37608,2.34173,1.9429,0.00325846,0.00108615,0.00325846,0.00108615,0.00325846,0.00108615,0.00325846,0.00108615
32,454.176,2.7064,2.5046,1.93524,0.43013,0.58974,0.43933,0.16887,2.43379,2.40045,1.94523,0.00316708,0.00105569,0.00316708,0.00105569,0.00316708,0.00105569,0.00316708,0.00105569
33,468.847,2.6806,2.47291,2.02414,0.45179,0.66667,0.45227,0.15664,2.55341,2.14406,1.95164,0.00307569,0.00102523,0.00307569,0.00102523,0.00307569,0.00102523,0.00307569,0.00102523
34,483.782,2.69106,2.22425,1.86978,0.50508,0.58974,0.4768,0.15628,2.59283,2.12946,1.94045,0.00298431,0.000994769,0.00298431,0.000994769,0.00298431,0.000994769,0.00298431,0.000994769
35,498.658,2.65094,2.22303,1.82773,0.55596,0.5641,0.5052,0.15871,2.56439,2.14871,1.8947,0.00289292,0.000964308,0.00289292,0.000964308,0.00289292,0.000964308,0.00289292,0.000964308
36,513.425,2.58806,2.23707,1.894,0.55869,0.5641,0.52654,0.18607,2.38831,2.04817,1.81257,0.00280154,0.000933846,0.00280154,0.000933846,0.00280154,0.000933846,0.00280154,0.000933846
37,528.928,2.64416,2.16215,1.82007,0.64063,0.61538,0.53228,0.17888,2.38137,2.12981,1.76456,0.00271015,0.000903385,0.00271015,0.000903385,0.00271015,0.000903385,0.00271015,0.000903385
38,544.537,2.38598,2.08201,1.80655,0.65734,0.58974,0.53507,0.20676,2.22981,2.13369,1.70832,0.00261877,0.000872923,0.00261877,0.000872923,0.00261877,0.000872923,0.00261877,0.000872923
39,559.748,2.46813,2.01208,1.73597,0.66819,0.51646,0.52573,0.20677,2.21466,2.2142,1.69692,0.00252738,0.000842462,0.00252738,0.000842462,0.00252738,0.000842462,0.00252738,0.000842462
40,575.656,2.47296,1.99588,1.73053,0.63234,0.58974,0.59869,0.23383,2.13226,2.01236,1.64909,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
