epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,120.874,1.22162,0.98376,1.27553,0.99412,1,0.995,0.73063,1.07065,0.66288,1.34616,0.000911,0.000911,0.000911
46,123.445,1.23633,0.96059,1.26838,0.99428,1,0.995,0.65864,1.12255,0.6911,1.35826,0.00088625,0.00088625,0.00088625
47,125.936,1.28856,1.04487,1.29241,0.99584,1,0.995,0.67904,1.14745,0.7459,1.39401,0.0008615,0.0008615,0.0008615
48,128.491,1.26147,1.02776,1.34404,0.94907,1,0.97409,0.61966,1.26716,1.16384,1.3798,0.00083675,0.00083675,0.00083675
49,130.996,1.19341,0.97131,1.25634,0.97465,0.98602,0.9945,0.73994,1.04754,0.95903,1.29638,0.000812,0.000812,0.000812
50,133.562,1.12421,0.90651,1.22124,0.99683,1,0.995,0.72018,1.0248,0.66228,1.29,0.00078725,0.00078725,0.00078725
51,136.122,1.16397,0.96322,1.25953,0.99741,1,0.995,0.74953,0.90603,0.64141,1.25049,0.0007625,0.0007625,0.0007625
52,138.67,1.10918,0.9081,1.22743,0.99722,1,0.995,0.7348,0.99455,0.6403,1.28355,0.00073775,0.00073775,0.00073775
53,141.165,1.12445,0.91798,1.19576,0.99664,1,0.995,0.73263,0.96248,0.61452,1.2757,0.000713,0.000713,0.000713
54,143.669,1.08223,0.86615,1.19956,0.99705,1,0.995,0.78082,0.90634,0.58032,1.23684,0.00068825,0.00068825,0.00068825
55,146.21,1.04853,0.8387,1.18247,0.99646,1,0.995,0.75357,0.94825,0.57997,1.24045,0.0006635,0.0006635,0.0006635
56,148.746,1.0557,0.84596,1.20731,0.99595,1,0.995,0.78041,0.90205,0.60756,1.24896,0.00063875,0.00063875,0.00063875
57,151.297,1.01693,0.84578,1.19633,0.99659,1,0.995,0.78277,0.85986,0.56529,1.22078,0.000614,0.000614,0.000614
58,153.807,1.10859,0.88274,1.20946,0.99594,1,0.995,0.77225,0.8832,0.59396,1.22753,0.00058925,0.00058925,0.00058925
59,156.334,1.02801,0.84532,1.17137,0.99678,1,0.995,0.75913,0.91406,0.57245,1.2171,0.0005645,0.0005645,0.0005645
60,158.865,1.0207,0.84168,1.18488,0.97069,1,0.9945,0.77787,0.8886,0.62224,1.22045,0.00053975,0.00053975,0.00053975
61,161.383,1.00834,0.82497,1.19964,0.99762,1,0.995,0.73451,0.90405,0.58358,1.2217,0.000515,0.000515,0.000515
62,163.889,1.05911,0.84817,1.17349,0.99745,1,0.995,0.77258,0.8523,0.5828,1.20582,0.00049025,0.00049025,0.00049025
63,166.424,1.02889,0.81858,1.15188,0.99744,1,0.995,0.80078,0.83837,0.57185,1.18664,0.0004655,0.0004655,0.0004655
64,168.96,0.97859,0.80641,1.13179,0.99711,1,0.995,0.77857,0.84916,0.51708,1.18071,0.00044075,0.00044075,0.00044075
65,171.48,0.97116,0.7889,1.17438,0.99347,1,0.995,0.79149,0.81963,0.52704,1.18037,0.000416,0.000416,0.000416
66,174.052,0.97636,0.76476,1.11463,0.99711,1,0.995,0.79183,0.82838,0.52211,1.18519,0.00039125,0.00039125,0.00039125
67,176.556,0.96011,0.77116,1.15413,0.99802,1,0.995,0.80538,0.81679,0.53255,1.17973,0.0003665,0.0003665,0.0003665
68,179.087,1.0184,0.77463,1.15184,0.99866,1,0.995,0.79996,0.83136,0.56127,1.19546,0.00034175,0.00034175,0.00034175
69,181.689,0.98606,0.75874,1.1204,0.9982,1,0.995,0.78536,0.84695,0.51468,1.20831,0.000317,0.000317,0.000317
70,184.244,1.01083,0.75293,1.14884,0.99693,1,0.995,0.81112,0.81701,0.5092,1.17933,0.00029225,0.00029225,0.00029225
